LOAN_ID,MEMBER_ID,LOAN_TYPE,LOAN_AMOUNT,OUTSTANDING_BALANCE,INTEREST_RATE,MONTHLY_PAYMENT,ORIGINATION_DATE,MATURITY_DATE,LOAN_STATUS,DAYS_PAST_DUE,BRANCH_ID
38,32,Auto,9217.93,3953.93,5.32,175.31,2020-11-23,2025-11-22,Delinquent,101,1
39,34,Personal,24937.29,8547.02,9.95,529.23,2026-03-31,2029-03-30,Delinquent,92,2
40,16,Mortgage,571997.93,273612.07,4.96,10783.83,2021-02-07,2051-01-31,Default,143,3
41,86,Personal,25124.38,21547.47,13.77,581.61,2021-07-13,2024-07-12,Current,0,2
42,92,Mortgage,540659.08,506793.64,5.18,10247.55,2024-06-04,2054-05-28,Current,0,2
43,31,Student,6971.3,3466.79,7.05,138.2,2022-06-18,2025-06-17,Current,0,5
44,17,Business,222219.15,211031.7,5.93,4288.89,2019-03-12,2024-03-10,Current,0,4
45,68,Student,62687.34,12946.68,8.53,1287.03,2020-04-11,2023-04-11,Current,0,3
46,83,Auto,29148.8,6094.56,7.49,583.94,2019-04-28,2024-04-26,Current,0,5
47,82,Business,53671.15,28308.0,11.78,1187.93,2021-12-09,2026-12-08,Current,0,1
48,16,Business,46723.71,41795.63,6.57,915.74,2019-06-21,2024-06-19,Current,0,2
49,45,Business,224782.22,59984.63,11.0,4887.31,2018-09-30,2023-09-29,Current,0,5
50,36,Mortgage,451261.85,237899.46,5.6,8640.47,2025-11-26,2055-11-19,Current,0,2
51,76,Business,47006.62,40740.67,9.78,993.67,2025-04-03,2030-04-02,Default,207,5
52,6,Auto,11817.47,0.0,8.67,243.42,2021-09-08,2026-09-07,Paid Off,0,5
53,34,Mortgage,526488.27,66202.22,4.82,9892.12,2026-01-16,2056-01-09,Default,348,5
54,38,Personal,17420.12,7755.07,16.67,429.85,2025-07-23,2028-07-22,Default,237,1
55,89,Auto,15429.78,4218.8,6.33,300.67,2024-11-06,2029-11-05,Current,0,5
56,19,Personal,30290.49,0.0,11.14,660.71,2025-10-23,2028-10-22,Paid Off,0,3
57,52,Mortgage,523152.45,194219.56,5.21,9922.94,2024-02-10,2054-02-02,Current,0,4
58,16,Personal,16286.26,5646.12,9.11,338.95,2019-11-11,2022-11-10,Current,0,4
59,79,Student,23620.27,18694.41,8.76,487.57,2019-08-14,2022-08-13,Current,0,5
60,93,Personal,7454.36,3703.27,9.32,155.9,2026-04-23,2029-04-22,Delinquent,69,4
61,3,Auto,52425.94,14829.87,6.72,1031.18,2022-01-28,2027-01-27,Current,0,3
62,7,Auto,21223.75,0.0,7.13,421.56,2025-05-16,2030-05-15,Paid Off,0,4
63,37,Business,11962.58,10169.24,6.2,232.38,2022-04-27,2027-04-26,Current,0,3
64,98,Student,32445.3,18738.6,6.2,630.28,2019-01-24,2022-01-23,Delinquent,76,5
65,37,Auto,26158.39,8835.33,6.48,511.57,2021-06-27,2026-06-26,Delinquent,109,5
66,16,Mortgage,636793.89,0.0,4.74,11941.38,2021-12-31,2051-12-24,Paid Off,0,3
67,72,Personal,26668.82,11765.72,9.77,563.62,2020-04-08,2023-04-08,Delinquent,35,1
68,5,Mortgage,498203.68,243342.74,6.34,9710.63,2023-01-03,2052-12-26,Delinquent,107,5
69,18,Personal,32666.54,30772.64,11.13,712.37,2018-09-25,2021-09-24,Current,0,3
70,76,Personal,18248.71,12818.42,13.31,418.12,2020-08-04,2023-08-04,Current,0,3
71,61,Auto,25312.82,15090.16,7.46,506.74,2023-02-14,2028-02-13,Current,0,1
72,77,Student,24914.78,0.0,7.61,500.54,2025-01-30,2028-01-30,Paid Off,0,5
73,74,Mortgage,502342.06,274076.56,5.48,9590.68,2023-09-21,2053-09-13,Current,0,5
74,100,Student,16083.18,9435.76,7.74,324.11,2020-08-17,2023-08-17,Current,0,1
75,25,Auto,28728.81,19734.54,6.34,559.96,2018-05-29,2023-05-28,Current,0,4
