ACCOUNT_ID,MEMBER_ID,ACCOUNT_TYPE,BALANCE,AVAILABLE_BALANCE,DATE_OPENED,DATE_CLOSED,STATUS,INTEREST_RATE,BRANCH_ID
98,2,Money Market,67169.7,59491.51,2022-06-17,,Active,0.055,1
99,23,Money Market,4548.68,4372.45,2023-04-13,,Frozen,0.055,1
100,96,Checking,40533.28,39183.63,2026-04-29,,Frozen,0.01,5
101,14,CD,42875.9,42524.85,2018-05-06,,Active,0.052,5
102,39,CD,54719.62,46767.36,2017-09-12,2018-05-03,Closed,0.052,4
103,55,Checking,41723.83,41158.69,2018-01-25,,Active,0.01,1
104,42,Savings,5676.42,5059.12,2023-06-23,,Frozen,0.045,5
105,92,Money Market,32438.78,30479.76,2026-04-25,,Active,0.055,4
106,65,CD,8520.25,8139.11,2024-06-11,,Frozen,0.052,2
107,56,CD,75498.93,68860.46,2026-01-06,2026-05-04,Closed,0.052,4
108,54,Checking,26635.35,23888.67,2023-01-07,,Active,0.01,3
109,20,CD,5799.62,5653.27,2023-06-09,,Active,0.052,4
110,13,Money Market,69019.21,64426.37,2021-11-03,,Frozen,0.055,5
111,72,Money Market,56984.13,51947.95,2019-03-31,2021-05-16,Closed,0.055,1
112,37,Money Market,29954.76,28058.26,2017-12-01,,Active,0.055,2
113,85,CD,19138.39,16578.3,2023-06-09,,Frozen,0.052,3
114,15,Money Market,48841.09,47428.76,2023-05-06,,Frozen,0.055,5
115,79,Checking,51803.67,49144.83,2018-01-30,,Active,0.01,1
116,24,Money Market,59759.13,53564.96,2019-12-16,,Active,0.055,3
117,1,Savings,73951.34,69140.67,2018-08-01,2026-03-24,Closed,0.045,1
118,19,Checking,7890.23,7334.54,2024-04-05,2024-10-02,Closed,0.01,4
119,59,Money Market,13464.05,12073.83,2021-04-13,,Active,0.055,5
120,77,Checking,75095.75,65583.9,2019-12-13,,Frozen,0.01,1
121,87,Checking,23201.53,22025.0,2022-01-23,2024-01-24,Closed,0.01,5
122,57,CD,23291.87,22435.7,2026-03-03,,Active,0.052,3
123,56,Checking,24147.63,22983.06,2017-08-21,2025-05-02,Closed,0.01,5
124,86,Money Market,3955.93,3597.09,2016-12-31,,Frozen,0.055,1
125,1,Savings,25690.5,22650.93,2020-04-28,,Active,0.045,3
126,38,Money Market,10286.67,9511.14,2023-07-06,2024-11-12,Closed,0.055,2
127,17,CD,45316.24,40082.97,2020-06-13,,Frozen,0.052,3
128,10,CD,73263.79,62739.11,2020-06-08,,Active,0.052,4
129,10,Money Market,48981.95,45847.59,2022-02-02,2022-08-15,Closed,0.055,3
130,15,CD,1870.72,1681.24,2019-07-06,,Frozen,0.052,4
131,89,Money Market,7582.23,7405.36,2017-01-30,,Active,0.055,4
132,76,CD,44584.42,40543.51,2020-12-31,,Active,0.052,3
133,29,Money Market,66247.11,57069.03,2021-07-07,,Active,0.055,5
134,66,Savings,77012.84,69496.87,2017-08-16,,Active,0.045,2
135,14,Savings,21831.7,19125.11,2024-08-18,,Active,0.045,1
136,23,CD,39489.62,36905.43,2021-11-08,,Frozen,0.052,4
137,88,Money Market,73474.56,69366.05,2022-03-21,,Active,0.055,4
138,9,CD,37643.46,33706.82,2024-01-07,,Active,0.052,5
139,8,Money Market,43172.9,38707.15,2017-08-19,2022-01-05,Closed,0.055,1
140,8,Money Market,70711.04,60918.24,2025-01-08,,Active,0.055,5
141,77,CD,39384.22,36751.28,2024-08-27,,Active,0.052,4
142,74,Savings,27397.62,25242.64,2021-07-10,,Active,0.045,1
143,58,Checking,68951.08,67269.13,2019-05-20,,Active,0.01,5
144,83,Savings,3423.17,3273.04,2017-12-17,2025-10-18,Closed,0.045,5
145,67,Savings,30994.94,30613.41,2018-08-06,2025-12-08,Closed,0.045,4
146,100,Money Market,57738.42,49531.18,2021-07-13,,Active,0.055,1
147,43,Checking,47471.08,43103.01,2019-03-08,,Active,0.01,5
148,20,Money Market,7019.52,6665.33,2017-02-16,,Active,0.055,3
149,84,CD,11048.0,10565.48,2018-04-21,,Active,0.052,3
150,72,CD,54732.58,49219.45,2025-11-26,,Active,0.052,5
