TRANSACTION_ID,ACCOUNT_ID,MEMBER_ID,TRANSACTION_DATE,TRANSACTION_TYPE,AMOUNT,RUNNING_BALANCE,DESCRIPTION,CHANNEL,BRANCH_ID
108,80,96,2026-03-20,Interest,3443.69,66365.84,Savings Interest,Branch,2
109,50,16,2026-02-13,Withdrawal,4188.14,21281.72,Cash Withdrawal,Branch,3
110,51,54,2024-10-27,Transfer,1854.39,39512.15,External Transfer,Branch,1
111,62,87,2024-06-23,Transfer,2454.16,37974.18,External Transfer,Online,3
112,42,42,2025-07-13,Transfer,3749.83,58583.41,External Transfer,Branch,4
113,13,34,2025-03-27,Withdrawal,4272.03,66307.58,Bill Payment,ATM,2
114,53,36,2025-09-08,Transfer,3264.9,43677.58,Zelle Transfer,Branch,4
115,34,55,2026-02-01,Withdrawal,3013.69,818.57,Wire Transfer,Online,3
116,109,20,2024-10-30,Fee,30.55,39068.93,Overdraft Fee,Mobile,3
117,134,66,2024-06-06,Interest,3390.87,8786.3,Savings Interest,Online,5
118,73,38,2025-03-21,Transfer,3428.38,40999.59,External Transfer,Online,3
119,71,82,2025-06-03,Transfer,3287.48,80940.74,Zelle Transfer,Online,2
120,39,3,2025-11-07,Interest,6512.4,76483.43,Savings Interest,Mobile,3
121,36,57,2025-11-23,Deposit,5579.52,84785.13,Cash Deposit,Mobile,4
122,100,96,2024-08-15,Deposit,4966.13,84554.59,Mobile Check Deposit,Online,2
123,137,88,2026-05-01,Fee,32.2,57141.63,Wire Fee,ATM,5
124,47,71,2024-10-23,Transfer,506.06,10962.46,External Transfer,ATM,3
125,23,71,2026-03-05,Withdrawal,1789.31,63283.42,Wire Transfer,Mobile,3
126,96,100,2025-06-30,Transfer,2936.14,39473.28,Internal Transfer,Mobile,1
127,150,72,2025-07-01,Interest,8027.95,6146.22,Monthly Interest Credit,Branch,4
128,136,23,2025-11-20,Transfer,2077.27,74035.09,Internal Transfer,ATM,2
129,88,50,2025-12-24,Fee,34.62,75902.55,ATM Fee,ATM,3
130,47,71,2024-10-25,Deposit,4157.25,53674.68,Mobile Check Deposit,Online,1
131,2,22,2026-02-04,Fee,13.21,64725.31,Overdraft Fee,ATM,4
132,23,71,2026-04-25,Withdrawal,3080.11,53883.09,Cash Withdrawal,Mobile,4
133,99,23,2025-05-21,Deposit,344.72,17030.27,Cash Deposit,Branch,3
134,136,23,2025-03-03,Withdrawal,109.22,450.11,Bill Payment,ATM,3
135,80,96,2024-11-22,Withdrawal,531.49,42833.27,Wire Transfer,ATM,1
136,12,4,2025-06-15,Transfer,4743.35,38808.14,Zelle Transfer,Online,4
137,35,10,2025-07-11,Transfer,4980.77,41716.17,Internal Transfer,ATM,4
138,5,90,2025-10-24,Withdrawal,1137.12,83716.27,Bill Payment,Branch,5
139,130,15,2024-09-10,Withdrawal,633.35,60473.25,ATM Withdrawal,Mobile,3
140,137,88,2025-09-13,Interest,436.77,84548.35,Savings Interest,Branch,1
141,13,34,2025-06-15,Deposit,3557.17,32383.54,Cash Deposit,Mobile,2
142,53,36,2024-06-08,Deposit,2576.96,56275.32,Cash Deposit,ATM,4
143,27,32,2025-01-11,Interest,6116.54,10095.66,Monthly Interest Credit,Branch,4
144,51,54,2025-08-18,Interest,1717.88,22428.18,Savings Interest,ATM,3
145,105,92,2025-02-07,Transfer,818.66,46636.98,Internal Transfer,Mobile,3
146,61,61,2025-05-23,Deposit,133.05,7656.34,Payroll Direct Deposit,Mobile,2
147,24,2,2025-09-26,Interest,661.03,61531.62,CD Interest Payment,ATM,4
148,76,81,2025-02-27,Transfer,2332.1,8573.78,Internal Transfer,Branch,3
149,93,85,2024-12-10,Transfer,2141.46,9940.0,Internal Transfer,Branch,2
150,44,41,2024-09-16,Transfer,1800.49,37261.96,Zelle Transfer,Online,1
151,96,100,2025-06-02,Transfer,930.69,34126.01,External Transfer,Online,4
152,123,56,2024-10-28,Fee,24.47,67757.62,Monthly Service Fee,ATM,1
153,41,82,2024-10-16,Deposit,3550.83,50254.7,ACH Transfer In,ATM,5
154,98,2,2026-01-21,Transfer,3064.56,73332.68,Zelle Transfer,ATM,4
155,125,1,2024-08-18,Deposit,7547.36,37514.4,Payroll Direct Deposit,Online,3
156,4,92,2025-04-08,Interest,6529.81,49057.5,Savings Interest,ATM,3
157,133,29,2024-06-16,Interest,5857.85,52588.49,CD Interest Payment,ATM,4
158,89,76,2025-03-02,Fee,9.46,70264.57,Monthly Service Fee,Branch,2
159,130,15,2025-03-05,Fee,30.56,73913.39,Monthly Service Fee,Mobile,3
160,62,87,2025-05-27,Transfer,4851.32,4374.78,Internal Transfer,Mobile,4
161,61,61,2025-02-12,Deposit,3915.83,68127.08,ACH Transfer In,Branch,4
162,115,79,2024-11-07,Transfer,611.16,42327.0,Zelle Transfer,Branch,1
163,104,42,2025-01-01,Fee,6.07,46718.49,Monthly Service Fee,Online,5
164,144,83,2024-07-01,Withdrawal,3279.89,38832.05,Wire Transfer,Online,1
165,58,91,2025-03-29,Fee,14.96,65253.65,ATM Fee,Online,4
166,30,34,2025-01-31,Deposit,6460.24,18926.33,Cash Deposit,Online,3
167,141,77,2025-05-31,Interest,3193.72,9126.76,Monthly Interest Credit,Mobile,2
168,105,92,2026-01-01,Deposit,2180.1,16733.73,Payroll Direct Deposit,Mobile,2
169,118,19,2024-06-11,Withdrawal,3589.6,9249.31,Cash Withdrawal,Branch,5
170,32,30,2025-02-04,Fee,18.72,50132.94,Overdraft Fee,Mobile,1
171,136,23,2025-07-21,Deposit,4713.59,36845.6,ACH Transfer In,ATM,5
172,45,1,2024-06-02,Withdrawal,535.7,55923.6,Wire Transfer,Mobile,4
173,64,96,2024-06-27,Transfer,2001.39,29208.71,External Transfer,Mobile,2
174,36,57,2025-12-14,Fee,23.08,75358.49,Wire Fee,Online,5
175,56,59,2025-07-08,Withdrawal,1064.37,60751.25,Wire Transfer,ATM,2
176,129,10,2025-09-07,Interest,5909.29,27470.18,Monthly Interest Credit,Online,5
177,123,56,2024-10-10,Interest,4861.16,56741.65,CD Interest Payment,Online,4
178,4,92,2024-10-04,Interest,927.34,32435.89,Monthly Interest Credit,Branch,2
179,69,82,2026-02-27,Withdrawal,4917.99,58119.84,Bill Payment,Branch,3
180,53,36,2024-12-12,Interest,298.8,69210.83,Monthly Interest Credit,ATM,5
181,100,96,2026-02-28,Withdrawal,2564.39,67751.18,Wire Transfer,Branch,4
182,100,96,2024-10-06,Fee,33.7,82947.35,Wire Fee,Branch,1
183,65,22,2024-09-20,Withdrawal,3110.4,66400.52,Cash Withdrawal,ATM,3
184,140,8,2025-10-29,Interest,1690.08,61645.24,Monthly Interest Credit,Online,4
185,46,97,2025-11-01,Deposit,1609.63,14855.21,Payroll Direct Deposit,Mobile,1
186,110,13,2025-11-07,Transfer,2791.86,11142.65,Zelle Transfer,Online,1
187,85,72,2026-03-04,Fee,26.29,13243.0,Overdraft Fee,Online,5
188,14,2,2025-09-25,Interest,7170.61,25668.04,Savings Interest,Online,1
189,82,47,2025-10-01,Interest,1889.18,15710.49,Monthly Interest Credit,ATM,4
190,140,8,2025-02-18,Interest,3443.96,29764.31,Monthly Interest Credit,Online,3
191,93,85,2024-10-26,Transfer,1107.86,64000.47,Zelle Transfer,Mobile,5
192,3,75,2024-12-26,Deposit,5694.25,37937.15,Mobile Check Deposit,Branch,3
193,98,2,2024-11-27,Deposit,3295.3,45966.15,Cash Deposit,Branch,5
194,96,100,2025-04-10,Interest,6828.87,37927.78,Monthly Interest Credit,Online,2
195,83,59,2025-08-22,Interest,722.88,8246.7,Savings Interest,Branch,1
196,54,37,2024-12-16,Withdrawal,4327.46,36115.38,ATM Withdrawal,ATM,5
197,112,37,2025-01-22,Deposit,6354.9,13153.76,ACH Transfer In,Online,1
198,23,71,2026-02-09,Deposit,484.92,67528.84,Payroll Direct Deposit,ATM,3
199,105,92,2025-04-10,Fee,18.53,34437.64,Wire Fee,Branch,4
200,31,1,2025-12-12,Interest,74.99,61252.25,Monthly Interest Credit,Branch,1
201,92,8,2025-10-15,Interest,924.5,66907.12,CD Interest Payment,Branch,3
202,113,85,2025-11-12,Fee,16.85,56195.4,ATM Fee,ATM,5
203,57,50,2024-12-25,Withdrawal,3738.83,67745.81,Wire Transfer,ATM,3
204,96,100,2024-09-30,Deposit,4716.12,47225.42,Payroll Direct Deposit,Branch,1
205,147,43,2024-12-19,Interest,3364.84,46584.91,Monthly Interest Credit,Online,2
206,89,76,2024-06-07,Withdrawal,2075.02,54939.58,Bill Payment,ATM,2
207,57,50,2026-01-26,Interest,7099.49,16598.3,Monthly Interest Credit,Branch,5
208,119,59,2025-10-28,Interest,644.9,57126.08,CD Interest Payment,Branch,2
209,149,84,2024-05-16,Fee,33.55,30421.05,Overdraft Fee,Branch,3
210,18,43,2025-06-13,Withdrawal,1602.57,38359.84,Wire Transfer,ATM,5
211,146,100,2025-07-05,Transfer,4042.34,81490.14,Internal Transfer,Branch,3
212,64,96,2025-10-13,Withdrawal,3566.75,54507.19,Wire Transfer,Online,2
213,85,72,2024-12-06,Fee,18.89,30557.16,Wire Fee,Mobile,5
214,28,29,2024-09-25,Withdrawal,3234.85,7059.57,Wire Transfer,ATM,5
215,51,54,2024-10-20,Transfer,3673.05,53299.94,Zelle Transfer,Branch,1
216,130,15,2025-06-25,Deposit,6912.14,49248.68,Mobile Check Deposit,Branch,5
217,67,88,2024-10-31,Interest,7601.53,45918.59,Savings Interest,ATM,3
218,101,14,2025-06-11,Withdrawal,4459.36,50157.1,Wire Transfer,ATM,4
219,129,10,2026-03-25,Interest,792.45,30992.19,Monthly Interest Credit,ATM,5
220,43,85,2025-01-06,Interest,1214.64,13617.98,Savings Interest,ATM,4
221,92,8,2025-11-14,Deposit,1879.49,41500.82,Payroll Direct Deposit,Online,3
222,60,13,2025-04-27,Deposit,5691.26,44068.46,Cash Deposit,Mobile,4
223,117,1,2025-10-15,Deposit,363.19,55159.75,Payroll Direct Deposit,Online,3
224,149,84,2025-10-27,Interest,4857.11,32078.4,CD Interest Payment,Online,5
225,20,28,2025-04-06,Interest,2157.19,82680.03,Monthly Interest Credit,Mobile,3
226,89,76,2025-10-22,Fee,28.78,75420.9,Monthly Service Fee,ATM,4
227,43,85,2025-01-17,Withdrawal,403.9,54731.2,Bill Payment,ATM,2
228,41,82,2024-08-15,Transfer,3018.06,69459.49,Zelle Transfer,ATM,4
229,85,72,2025-06-08,Deposit,4105.85,40751.36,Mobile Check Deposit,ATM,4
230,6,6,2024-09-16,Withdrawal,234.86,48789.0,Bill Payment,ATM,5
231,11,58,2026-02-14,Interest,1269.68,14222.38,Monthly Interest Credit,Mobile,5
232,145,67,2026-04-28,Deposit,7470.36,61905.02,Cash Deposit,Branch,2
233,115,79,2026-04-04,Interest,8438.78,73733.97,Monthly Interest Credit,ATM,4
234,37,65,2025-05-23,Interest,6978.34,15541.96,Savings Interest,Online,2
235,88,50,2026-01-08,Fee,22.9,5944.76,ATM Fee,Mobile,2
236,28,29,2024-06-28,Deposit,1739.9,73079.33,ACH Transfer In,ATM,5
237,25,33,2025-12-23,Withdrawal,2389.83,52292.12,ATM Withdrawal,Branch,1
238,124,86,2024-06-09,Withdrawal,4511.88,45885.38,ATM Withdrawal,Mobile,5
239,108,54,2024-05-09,Transfer,4376.63,59329.87,External Transfer,ATM,4
240,98,2,2024-08-13,Transfer,2953.46,63044.35,Zelle Transfer,Branch,4
241,35,10,2025-08-09,Transfer,2396.16,19840.34,Internal Transfer,Online,5
242,140,8,2024-06-23,Fee,12.73,564.36,Monthly Service Fee,Branch,5
243,2,22,2024-08-23,Fee,24.64,58491.4,Wire Fee,Mobile,3
244,28,29,2024-10-11,Withdrawal,2141.84,49797.93,Wire Transfer,Mobile,5
245,94,43,2025-04-03,Interest,2360.38,57883.42,Monthly Interest Credit,Mobile,5
246,143,58,2024-06-18,Fee,10.36,47567.07,ATM Fee,Online,3
247,148,20,2025-08-14,Transfer,3875.49,33901.22,Internal Transfer,Branch,2
248,115,79,2026-03-18,Withdrawal,519.39,43258.37,Wire Transfer,Branch,2
249,100,96,2026-03-03,Deposit,6842.03,69994.39,ACH Transfer In,Mobile,1
250,17,85,2025-08-29,Transfer,1124.42,6895.37,Internal Transfer,Mobile,4
251,134,66,2024-05-16,Transfer,3563.8,50825.42,Internal Transfer,Mobile,4
252,3,75,2025-05-29,Withdrawal,4255.83,79121.39,Wire Transfer,ATM,1
253,131,89,2025-03-01,Interest,5944.36,52329.63,Savings Interest,Branch,3
254,62,87,2024-05-17,Deposit,8293.6,7472.95,Cash Deposit,Mobile,3
255,102,39,2025-10-14,Fee,22.58,44056.36,Monthly Service Fee,Branch,5
256,73,38,2025-05-31,Interest,7779.7,29653.29,CD Interest Payment,ATM,5
257,50,16,2024-11-30,Fee,32.89,48909.58,Wire Fee,ATM,4
258,130,15,2025-05-07,Deposit,4759.4,42819.06,Cash Deposit,Branch,5
259,66,46,2025-09-27,Interest,6916.42,48908.49,Savings Interest,Mobile,4
260,145,67,2025-03-15,Fee,28.1,64409.48,ATM Fee,Mobile,5
261,8,56,2026-03-22,Fee,8.49,5835.36,Overdraft Fee,ATM,3
262,106,65,2024-09-13,Transfer,2592.19,925.5,External Transfer,ATM,3
263,24,2,2026-03-07,Fee,25.21,69809.24,Monthly Service Fee,ATM,4
264,81,97,2025-05-23,Transfer,1108.46,48808.2,Internal Transfer,ATM,4
265,52,50,2024-10-28,Withdrawal,3682.44,74195.84,Bill Payment,ATM,2
266,64,96,2025-08-01,Interest,3042.33,66231.88,Monthly Interest Credit,Branch,4
267,2,22,2024-11-05,Interest,8143.99,72096.1,CD Interest Payment,Online,4
268,148,20,2025-01-19,Transfer,2464.21,83675.11,Zelle Transfer,Online,4
269,57,50,2025-12-07,Interest,1111.88,44734.94,CD Interest Payment,Mobile,5
270,9,23,2024-07-01,Interest,2968.27,73147.97,Monthly Interest Credit,Mobile,1
271,133,29,2026-04-06,Fee,14.47,814.74,Overdraft Fee,Mobile,5
272,26,74,2025-04-05,Transfer,1820.78,73270.39,Internal Transfer,Online,2
273,69,82,2024-10-29,Fee,33.76,29228.89,Overdraft Fee,Mobile,4
274,54,37,2025-09-26,Fee,26.02,31709.09,ATM Fee,Online,4
275,47,71,2024-12-10,Interest,1136.4,48993.29,Monthly Interest Credit,Branch,3
276,61,61,2025-12-31,Interest,3688.05,32437.0,Monthly Interest Credit,ATM,4
277,3,75,2024-07-02,Withdrawal,2119.17,11516.65,Wire Transfer,Mobile,3
278,65,22,2026-04-29,Interest,7300.8,4150.52,Monthly Interest Credit,ATM,1
279,56,59,2025-08-23,Transfer,2393.17,53575.3,External Transfer,Online,3
280,93,85,2024-05-28,Transfer,2810.54,79213.6,External Transfer,Online,1
281,106,65,2025-02-25,Deposit,3000.49,57796.84,Mobile Check Deposit,ATM,3
282,91,31,2025-02-04,Transfer,3372.5,41488.22,Zelle Transfer,Mobile,1
283,98,2,2025-04-17,Interest,2453.29,53732.36,Monthly Interest Credit,ATM,3
284,108,54,2025-08-13,Interest,4869.63,72171.68,Monthly Interest Credit,Branch,2
285,88,50,2025-09-30,Withdrawal,1581.14,55540.81,Wire Transfer,Mobile,3
286,114,15,2024-07-04,Transfer,3744.52,44327.44,External Transfer,Mobile,2
287,48,4,2026-01-12,Deposit,1084.71,20019.85,Cash Deposit,Branch,2
288,43,85,2025-08-19,Fee,8.09,5515.97,ATM Fee,Branch,1
289,102,39,2025-01-02,Interest,6508.34,7168.03,CD Interest Payment,ATM,1
290,100,96,2026-04-19,Transfer,1162.19,62721.67,External Transfer,ATM,2
291,135,14,2026-04-16,Withdrawal,162.29,56435.32,Wire Transfer,Mobile,4
292,139,8,2026-02-18,Transfer,2751.76,11571.26,Zelle Transfer,ATM,5
293,117,1,2026-03-07,Interest,3711.43,54417.87,Savings Interest,Online,3
294,124,86,2024-10-19,Interest,1949.91,7703.14,CD Interest Payment,Online,4
295,67,88,2026-02-22,Withdrawal,1531.79,107.84,Bill Payment,Online,3
296,121,87,2025-09-23,Interest,95.49,78385.3,CD Interest Payment,Online,1
297,111,72,2025-06-23,Transfer,2993.08,67745.55,Zelle Transfer,Online,2
298,106,65,2024-11-19,Interest,3729.48,21316.18,Savings Interest,Mobile,4
299,57,50,2026-03-11,Transfer,414.46,53189.92,Zelle Transfer,Online,3
300,137,88,2025-09-17,Transfer,2076.26,72560.62,Internal Transfer,ATM,3
301,29,40,2024-11-25,Fee,23.53,23204.19,ATM Fee,ATM,3
302,5,90,2025-06-05,Withdrawal,267.17,45519.02,Bill Payment,Branch,3
303,69,82,2025-08-29,Withdrawal,3581.68,61831.39,Bill Payment,Branch,2
304,4,92,2024-09-13,Fee,11.52,35778.63,ATM Fee,Online,4
305,9,23,2026-01-16,Transfer,419.51,63823.36,Internal Transfer,Branch,3
306,101,14,2024-05-16,Deposit,4628.55,15518.16,Cash Deposit,Mobile,1
307,32,30,2024-10-03,Withdrawal,1936.29,82875.14,Bill Payment,Branch,2
308,118,19,2024-08-18,Deposit,4441.65,83481.64,ACH Transfer In,Mobile,3
309,83,59,2025-12-25,Withdrawal,3153.24,3681.58,ATM Withdrawal,Online,4
310,77,5,2025-12-26,Withdrawal,1814.92,4522.23,Bill Payment,Branch,2
311,112,37,2026-03-15,Transfer,95.04,67543.74,Zelle Transfer,Branch,4
312,63,5,2024-12-09,Deposit,8235.88,49433.44,ACH Transfer In,ATM,3
313,23,71,2025-06-21,Withdrawal,805.34,7859.99,Wire Transfer,Branch,1
314,92,8,2025-06-23,Withdrawal,3512.61,67295.48,Bill Payment,Mobile,2
315,82,47,2026-01-15,Interest,6708.06,64343.62,CD Interest Payment,ATM,1
316,97,17,2025-09-11,Transfer,3627.51,21384.11,Internal Transfer,Mobile,4
317,144,83,2025-06-04,Transfer,2722.82,41708.81,Zelle Transfer,ATM,5
318,90,53,2025-02-09,Transfer,3667.36,23475.05,Zelle Transfer,ATM,1
319,136,23,2025-10-27,Withdrawal,2257.93,69668.64,Wire Transfer,Mobile,1
320,130,15,2025-12-03,Fee,27.01,75060.96,Wire Fee,ATM,3
321,17,85,2025-09-20,Interest,6966.45,16219.92,Savings Interest,Mobile,5
322,40,67,2024-07-01,Interest,2424.52,34892.4,CD Interest Payment,Branch,1
323,134,66,2025-10-31,Deposit,396.01,79719.18,Mobile Check Deposit,Branch,2
324,28,29,2025-01-12,Fee,10.75,2801.28,ATM Fee,Mobile,5
325,66,46,2024-07-15,Deposit,3129.85,51545.46,Payroll Direct Deposit,Branch,2
